Page Title,Page URL,Source Type,Section Type,Text Content
Imageshow | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/imageshow,General,LI,GalleriesSatellite ProductsWeather ForecastOcean ForecastRADAR (DWR)Global Ocean Current
Imageshow | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/imageshow,General,LI,Data AccessOrder DataOpen DataAtmosphereBayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud PropertiesLand3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil MoistureOceanGlobal Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable EnergyCal-ValForecastRSS Feeds
Imageshow | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/imageshow,General,LI,Open DataAtmosphereBayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud PropertiesLand3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil MoistureOceanGlobal Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable Energy
Imageshow | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/imageshow,General,LI,AtmosphereBayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud Properties
Imageshow | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/imageshow,General,LI,Land3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil Moisture
Imageshow | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/imageshow,General,LI,OceanGlobal Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable Energy
Imageshow | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/imageshow,General,LI,Galleries»Satellite ProductsWeather ForecastOcean ForecastRADAR (DWR)Global Ocean Current
Imageshow | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/imageshow,General,LI,Data Access»Order DataOpen Data»Atmosphere»Bayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud PropertiesLand»3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil MoistureOcean»Global Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable EnergyCal-ValForecastRSS Feeds
Imageshow | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/imageshow,General,LI,Open Data»Atmosphere»Bayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud PropertiesLand»3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil MoistureOcean»Global Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable Energy
Imageshow | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/imageshow,General,LI,Atmosphere»Bayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud Properties
Imageshow | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/imageshow,General,LI,Land»3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil Moisture
Imageshow | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/imageshow,General,LI,Ocean»Global Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable Energy
Imageshow | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/imageshow,General,P,"Website owned and maintained by MOSDAC, Space Applications Centre, Indian Space Research Organisation, Govt. of INDIA."
Imageshow | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/imageshow,General,P,"""Ver 3.0; Last reviewed and updated on
01 Jul, 2025& Served By:
Web-Srv-Pri"
