Page Title,Page URL,Source Type,Section Type,Text Content
INSAT-3DS | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/insat-3ds,General,LI,GalleriesSatellite ProductsWeather ForecastOcean ForecastRADAR (DWR)Global Ocean Current
INSAT-3DS | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/insat-3ds,General,LI,Data AccessOrder DataOpen DataAtmosphereBayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud PropertiesLand3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil MoistureOceanGlobal Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable EnergyCal-ValForecastRSS Feeds
INSAT-3DS | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/insat-3ds,General,LI,Open DataAtmosphereBayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud PropertiesLand3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil MoistureOceanGlobal Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable Energy
INSAT-3DS | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/insat-3ds,General,LI,AtmosphereBayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud Properties
INSAT-3DS | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/insat-3ds,General,LI,Land3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil Moisture
INSAT-3DS | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/insat-3ds,General,LI,OceanGlobal Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable Energy
INSAT-3DS | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/insat-3ds,General,LI,Galleries»Satellite ProductsWeather ForecastOcean ForecastRADAR (DWR)Global Ocean Current
INSAT-3DS | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/insat-3ds,General,LI,Data Access»Order DataOpen Data»Atmosphere»Bayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud PropertiesLand»3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil MoistureOcean»Global Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable EnergyCal-ValForecastRSS Feeds
INSAT-3DS | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/insat-3ds,General,LI,Open Data»Atmosphere»Bayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud PropertiesLand»3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil MoistureOcean»Global Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable Energy
INSAT-3DS | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/insat-3ds,General,LI,Atmosphere»Bayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud Properties
