Page Title,Page URL,Source Type,Section Type,Text Content
Relative | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/calibration-reports,General,LI,GalleriesSatellite ProductsWeather ForecastOcean ForecastRADAR (DWR)Global Ocean Current
Relative | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/calibration-reports,General,LI,Data AccessOrder DataOpen DataAtmosphereBayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud PropertiesLand3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil MoistureOceanGlobal Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable EnergyCal-ValForecastRSS Feeds
Relative | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/calibration-reports,General,LI,Open DataAtmosphereBayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud PropertiesLand3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil MoistureOceanGlobal Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable Energy
Relative | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/calibration-reports,General,LI,AtmosphereBayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud Properties
Relative | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/calibration-reports,General,LI,Land3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil Moisture
Relative | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/calibration-reports,General,LI,OceanGlobal Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable Energy
Relative | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/calibration-reports,General,LI,Galleries»Satellite ProductsWeather ForecastOcean ForecastRADAR (DWR)Global Ocean Current
Relative | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/calibration-reports,General,LI,Data Access»Order DataOpen Data»Atmosphere»Bayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud PropertiesLand»3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil MoistureOcean»Global Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable EnergyCal-ValForecastRSS Feeds
Relative | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/calibration-reports,General,LI,Open Data»Atmosphere»Bayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud PropertiesLand»3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil MoistureOcean»Global Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable Energy
Relative | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/calibration-reports,General,LI,Atmosphere»Bayesian based MT-SAPHIR rainfallGPS derived Integrated water vapourGSMap ISRO RainMETEOSAT8 Cloud Properties
Relative | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/calibration-reports,General,LI,Land»3D Volumetric TERLS DWRproductInland Water HeightRiver DischargeSoil Moisture
Relative | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/calibration-reports,General,LI,Ocean»Global Ocean Surface CurrentHigh Resolution Sea Surface SalinityIndian Mainland Coastal ProductOcean SubsurfaceOceanic Eddies DetectionSea Ice Occurrence ProbabilityWave based Renewable Energy
Relative | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/calibration-reports,General,P,"Website owned and maintained by MOSDAC, Space Applications Centre, Indian Space Research Organisation, Govt. of INDIA."
Relative | Meteorological & Oceanographic Satellite Data Archival Centre,https://www.mosdac.gov.in/calibration-reports,General,P,"""Ver 3.0; Last reviewed and updated on
01 Jul, 2025& Served By:
Web-Srv-Pri"
